"","logID","fightID","encounterID","size","Class","timestamp","type","sourceID","abilityGameID","hitType","hitType2","amount","unmitigatedAmount","amount_full","resisted","overkill","buffs"
"115","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",2081581,"damage",7,67760,1,"Normal",2253,2253,2253,NA,NA,"53817.60766.16280.29178.48934.59620."
"116","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",2091269,"damage",7,67760,16,"Normal",1853,2059,2059,206,NA,"53817.16246.16280.29178.48934.59620."
"117","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",2100085,"damage",7,67760,17,"Crit",3137,2256,3363,226,NA,"53817.16246.16280.29178.48934."
"118","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",2109341,"damage",7,67760,2,"Crit",3401,2201,3401,NA,NA,"53817.16246.64772.16280.29178.48934."
"119","tDzK7FTJqW3LwAr4",6,645,10,"Enh Shaman",2121472,"damage",7,67760,17,"Crit",3062,2202,3282,220,NA,"53817.55637.16280.48934."
"120","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2311685,"damage",7,67760,16,"Normal",1879,2088,2088,209,NA,"54758.16246.64772.29178.53817.55637.60766.16280.53909."
"121","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2319000,"damage",7,67760,16,"Normal",2003,2226,2226,223,NA,"54758.16246.64772.29178.53817.55637.60766.16280."
"122","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2327061,"damage",7,67760,1,"Normal",2059,2059,2059,NA,NA,"16246.29178.53817.60766.16280."
"123","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2336159,"damage",7,67760,17,"Crit",3042,2188,3261,219,NA,"29178.60766.16280.59620."
"124","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2344149,"damage",7,67760,17,"Crit",2816,2025,3019,203,NA,"16246.29178.53817.60766.16280.59620."
"125","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2352705,"damage",7,67760,1,"Normal",2177,2177,2177,NA,NA,"16246.29178.53817.60766.16280.59620."
"126","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2361300,"damage",7,67760,16,"Normal",1966,2185,2185,219,NA,"64772.53817.16280."
"127","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2368321,"damage",7,67760,1,"Normal",2201,2201,2201,NA,NA,"54758.16246.29178.53817.60766.16280.59620."
"128","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2375527,"damage",7,67760,1,"Normal",2269,2269,2269,NA,NA,"54758.16246.29178.53817.55637.60766.16280.59620."
"129","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2384843,"damage",7,67760,16,"Normal",1921,2135,2135,214,NA,"16246.29178.55637.60766.16280."
"130","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2402539,"damage",7,67760,2,"Crit",3444,2229,3444,NA,NA,"16246.29178.53817."
"131","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2455866,"damage",7,67760,17,"Crit",2916,2097,3126,210,NA,"53817.55637.16280."
"132","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2463568,"damage",7,67760,1,"Normal",2045,2045,2045,NA,NA,"54758.16246.29178.53817.55637.60766.16280."
"133","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2470295,"damage",7,67760,1,"Normal",2155,2155,2155,NA,NA,"54758.16246.29178.53817.55637.16280.59620."
"134","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2479518,"damage",7,67760,1,"Normal",2009,2009,2009,NA,NA,"53908.32182.29178.53817.16280.59620."
"135","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2487864,"damage",7,67760,1,"Normal",2246,2246,2246,NA,NA,"53908.64772.32182.29178.16280.59620."
"136","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2495024,"damage",7,67760,16,"Normal",1690,2113,2113,423,NA,"16246.32182.29178.60766.59620."
"137","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2502628,"damage",7,67760,17,"Crit",2882,2073,3089,207,NA,"16246.32182.29178.53817.60766.16280."
"138","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2510022,"damage",7,67760,2,"Crit",3058,1979,3058,NA,NA,"16246.32182.29178.53817.60766.16280."
"139","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2519542,"damage",7,67760,17,"Crit",2823,2030,3026,203,NA,"16246.29178.53817.55637.60766.16280.59620."
"140","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2527055,"damage",7,67760,2,"Crit",3175,2055,3175,NA,NA,"54758.16246.29178.53817.55637.60766.16280.59620."
"141","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2536395,"damage",7,67760,1,"Normal",2158,2158,2158,NA,NA,"16246.64772.29178.53817.60766.16280."
"142","tDzK7FTJqW3LwAr4",7,645,10,"Enh Shaman",2545022,"damage",7,67760,1,"Normal",1996,1996,1996,NA,NA,"64772.29178.53817.60766.16280."
"143","D3zVab78GpJ2dXM4",27,629,10,"Mage",18898340,"damage",371,67760,17,"Crit",3679,2341,3913,234,NA,"64868.54758.55342.12472.12042.55637.54648."
"144","D3zVab78GpJ2dXM4",27,629,10,"Mage",18910127,"damage",371,67760,2,"Crit",4162,2383,4162,NA,NA,"55342.12472.44413.12042.54648."
"145","D3zVab78GpJ2dXM4",27,629,10,"Mage",18932253,"damage",371,67760,16,"Normal",1884,2093,2093,209,NA,"44413.54648."
"146","D3zVab78GpJ2dXM4",27,629,10,"Mage",18943995,"damage",371,67760,1,"Normal",2629,2326,2629,NA,NA,"64868.54648."
"147","D3zVab78GpJ2dXM4",27,629,10,"Mage",18995148,"damage",371,67760,16,"Normal",2269,2231,2492,223,NA,"64868.54758.26297.12042.44401.54648."
"148","D3zVab78GpJ2dXM4",27,629,10,"Mage",19008092,"damage",371,67760,17,"Crit",3145,2252,3595,450,NA,"54648."
"149","D3zVab78GpJ2dXM4",27,629,10,"Mage",19018384,"damage",371,67760,2,"Crit",4242,2429,4242,NA,NA,"44401.54648."
